height,temperature,np,HI,HII,HMinus
225164000.0,147200.0,2204960000.0,1.33284,1836000000.0,1.2249700000000002e-10
225943000.0,152300.0,2135310000.0,1.25159,1778000000.0,1.1538799999999998e-10
226969000.0,158600.0,2053640000.0,1.16238,1710000000.0,1.0758799999999998e-10
228238000.0,166000.0,1965970000.0,1.0731899999999999,1637000000.0,9.99009e-11
229437000.0,172600.0,1892720000.0,1.00338,1576000000.0,9.38776e-11
230855000.0,180100.0,1817050000.0,0.935391,1513000000.0,8.8097e-11
232578000.0,188600.0,1737790000.0,0.86826,1447000000.0,8.23859e-11
234610000.0,198100.0,1657330000.0,0.804037,1380000000.0,7.69418e-11
237819000.0,212000.0,1552840000.0,0.725999,1293000000.0,7.03395e-11
241866000.0,227800.0,1447160000.0,0.652624,1205000000.0,6.40404e-11
245790000.0,241900.0,1365490000.0,0.59939,1137000000.0,5.94765e-11
249556000.0,254400.0,1299440000.0,0.558363,1082000000.0,5.59049e-11
253547000.0,266700.0,1239390000.0,0.522541,1032000000.0,5.27405e-11
257823000.0,279000.0,1186070000.0,0.49502700000000005,987600000.0,5.06952e-11
262832000.0,292500.0,1135030000.0,0.47371800000000003,945100000.0,4.97241e-11
268810000.0,307300.0,1083030000.0,0.452009,901800000.0,4.86242e-11
276149000.0,324000.0,1029340000.0,0.42959899999999995,857100000.0,4.73835e-11
284440000.0,341300.0,978663000.0,0.408443,814900000.0,4.61129e-11
297076000.0,365000.0,915733000.0,0.38217399999999996,762500000.0,4.43882e-11
313379000.0,392000.0,852202000.0,0.355655,709600000.0,4.24866e-11
342499000.0,432900.0,768975000.0,0.320916,640300000.0,3.97391e-11
375271000.0,471600.0,701601000.0,0.29279499999999997,584200000.0,3.72959e-11
429586000.0,524300.0,623659000.0,0.260264,519300000.0,3.42224e-11
496864000.0,577400.0,557366000.0,0.232596,464100000.0,3.13945e-11
576283000.0,629300.0,501641000.0,0.20934,417700000.0,2.88635e-11
736082000.0,711700.0,427062000.0,0.178215,355600000.0,2.52552e-11
897424000.0,778300.0,376501000.0,0.157114,313500000.0,2.26677e-11
1159620000.0,865000.0,320296000.0,0.133659,266700000.0,1.96574e-11
1539200000.0,963700.0,266733000.0,0.11130599999999999,222100000.0,1.66615e-11
2113310000.0,1080000.0,214492000.0,0.0895054,178600000.0,1.36231e-11
2667660000.0,1170000.0,180384000.0,0.07527239999999999,150200000.0,1.15791e-11
3607950000.0,1294000.0,140993000.0,0.0588344,117400000.0,9.16162e-12
4700930000.0,1410000.0,110693000.0,0.0461904,92170000.0,7.26119e-12
6125013612.965825,1530901.2463072217,95114714.07995677,0.0461904,92170000.0,7.26119e-12
7980504231.932118,1662169.238258866,95114714.07995677,0.0461904,92170000.0,7.26119e-12
10398090815.841883,1804692.878314911,95114714.07995677,0.0461904,92170000.0,7.26119e-12
13548052788.67935,1959437.288378766,95114714.07995677,0.0461904,92170000.0,7.26119e-12
17652253439.179184,2127450.345276523,95114714.07995677,0.0461904,92170000.0,7.26119e-12
22999766559.91373,2309869.776624506,95114714.07995677,0.0461904,92170000.0,7.26119e-12
29967236966.835857,2507930.8651360576,95114714.07995677,0.0461904,92170000.0,7.26119e-12
39045408964.7883,2722974.8135383925,95114714.07995677,0.0461904,92170000.0,7.26119e-12
50873691255.37842,2956457.8267440437,95114714.07995677,0.0461904,92170000.0,7.26119e-12
66285192819.50872,3209960.9727781485,95114714.07995677,0.0461904,92170000.0,7.26119e-12
86365401815.71631,3485200.8892366043,95114714.07995677,0.0461904,92170000.0,7.26119e-12
112528640462.74367,3784041.407775423,95114714.07995677,0.0461904,92170000.0,7.26119e-12
146617680902.04312,4108506.175348604,95114714.07995677,0.0461904,92170000.0,7.26119e-12
191033538348.04883,4460792.357661053,95114714.07995677,0.0461904,92170000.0,7.26119e-12
248904583330.28305,4843285.517631942,95114714.07995677,0.0461904,92170000.0,7.26119e-12
324306884218.13763,5258575.769620186,95114714.07995677,0.0461904,92170000.0,7.26119e-12
422551299554.4762,5709475.318803183,95114714.07995677,0.0461904,92170000.0,7.26119e-12
550557541156.2319,6199037.504479504,95114714.07995677,0.0461904,92170000.0,7.26119e-12
717341554607.8992,6730577.476250274,95114714.07995677,0.0461904,92170000.0,7.26119e-12
934650545130.3143,7307694.643091394,95114714.07995677,0.0461904,92170000.0,7.26119e-12
1217790376008.386,7934297.047334188,95114714.07995677,0.0461904,92170000.0,7.26119e-12
1586703616261.0657,8614627.828606825,95114714.07995677,0.0461904,92170000.0,7.26119e-12
2067374168375.4333,9353293.956941165,95114714.07995677,0.0461904,92170000.0,7.26119e-12
2693657409149.5566,10155297.429616341,95114714.07995677,0.0461904,92170000.0,7.26119e-12
3509664747126.054,11026069.14299302,95114714.07995677,0.0461904,92170000.0,7.26119e-12
4572870549677.05,11971505.668707533,95114714.07995677,0.0461904,92170000.0,7.26119e-12
5958160271925.434,12998009.183261208,95114714.07995677,0.0461904,92170000.0,7.26119e-12
7763104911959.001,14112530.821395254,95114714.07995677,0.0461904,92170000.0,7.26119e-12
10114833291419.086,15322617.74682485,95114714.07995677,0.0461904,92170000.0,7.26119e-12
13178986201203.123,16636464.259080375,95114714.07995677,0.0461904,92170000.0,7.26119e-12
17171383085359.25,18062967.282533124,95114714.07995677,0.0461904,92170000.0,7.26119e-12
22373222990190.55,19611786.613359213,95114714.07995677,0.0461904,92170000.0,7.26119e-12
29150890436751.242,21293410.33241337,95114714.07995677,0.0461904,92170000.0,7.26119e-12
