height,temperature,np,HI,HII,HMinus
167231576.5853638,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
167580946.17432982,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
167931045.6440527,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
168281876.51935303,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
168633440.32823682,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
168985738.60190243,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
169338772.87474698,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
169692544.68437326,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
170047055.57159624,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
170402307.0804499,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
170758300.75819394,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
171115038.15532044,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
171472520.82556072,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
171830750.325892,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
172189728.21654433,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
172549456.06100723,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
172909935.42603654,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
173271167.8816613,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
173633155.00119057,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
173995898.36122027,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
174359399.54163998,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
174723660.12563998,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
175088681.69971794,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
175454465.85368606,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
175821014.18067777,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
176188328.27715486,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
176556409.74291426,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
176925260.18109515,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
177294881.19818592,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
177665274.40403104,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
178036441.41183823,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
178408383.83818543,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
178781103.30302775,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
179154601.42970473,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
179528879.84494716,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
179903940.1788844,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
180279784.0650513,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
180656413.14039543,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
181033829.04528415,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
181412033.42351177,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
181791027.92230672,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
182170814.1923387,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
182551393.88772592,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
182932768.6660422,14061521.622724611,26912262.032958206,179544.00743213683,10843527.397812184,39993402.127777845
